Statement,subquestion
"Ông Nguyễn Hoài Nam sinh năm 1980 - đại diện Trung tâm Chuyển đổi số và Thống kê nông nghiệp kiến nghị Bộ Nông nghiệp và Phát triển nông thôn, cần xây dựng tài liệu hướng dẫn kết nối, chia sẻ dữ liệu và sớm ban hành bộ tiêu chí về truy xuất nguồn gốc, chuỗi cung ứng, hệ thống truy xuất nguồn gốc quốc gia cần được xây dựng, phát triển theo hướng kết nối, liên thông và tập trung tương tự như mô hình Cổng dịch vụ công quốc gia.","Mr. Nguyen Hoài Nam, who was born in 1980, represents the Center for Agricultural Transformation and Statistics, and he asked the Ministry of Agriculture and Rural Development to create a manual on connectivity, data sharing, and soon to introduce a set of criteria for accessing"
Khi chung cư bị tiêu hủy thì các giấy tờ sở hữu chung cư vẫn còn hiệu lực.,"When the apartments are rented out, the homeowner's documents are still valid."
"Sở Giáo dục và Đào tạo TP.HCM vừa có văn bản khẩn gửi các trường rà soát, tăng cường các biện pháp đảm bảo an toàn trường học.","The Department of Education and Training in the HKSAR has issued an urgent letter to the schools, reinforcing school safety measures."
"ICAO công bố dự báo trên song truyền hình VTV ngày 8/2 dự báo về sự phục hồi và tăng trưởng hoàn toàn, bền vững của nhu cầu hành khách hàng không năm 2023.","The ICAO announcement on VTV on February 8th predicts the complete, sustainable recovery and growth of air passenger demand in 2023."
"Bao gồm cả việc thanh sát hiện trường, giới hạn Nga và Mỹ chỉ được sở hữu không quá 1.650 đầu đạn hạt nhân được triển khai và yêu cầu một loạt bước xác nhận từ khi New START có hiệu lực vào năm 2011.","Including surveillance of the situation, the Russians and the U.S. have only owned 1,650 nuclear warheads that have been deployed and required a series of verification steps since New START came into effect in 2011."
"Anh NVT (41 tuổi, ngụ quận 3, TP.HCM) kể nhận được điện thoại báo con ngã bị chấn thương sọ não, anh T đã chuyển 10 triệu đồng cho đối tượng.","Mr. NVT (41 years old, District 3, Hokkaido) said he got a phone call telling him the kid had a brain injury, and he donated 10 million dollars."
"Trong khi khu vực Thanh Hóa đến Thừa Thiên Huế có mưa vài nơi, sáng sớm có sương mù và sương mù nhẹ rải rác, các nơi khác ngày nắng, có nơi nắng nóng, chiều tối và đêm có mưa rào và dông vài nơi.","Whereas in the area from Thanh Hoa to Thừa Thiên Hoa it rained a few places, early in the morning it was foggy and a little bit of foggy, other places it was sunny day, some places it was hot, and in the evening and at night it rained"
"Nhờ có việc tập trung triển khai các giải pháp ổn định sản xuất, ứng phó kịp thời trước các biến động thị trường, thời tiết, dịch bệnh nên nông nghiệp vẫn đạt tăng trưởng khá, năng suất và sản lượng nhiều sản phẩm chủ lực tăng.","By focusing on deploying stable production solutions, responding in a timely manner to market fluctuations, weather, pandemics, agriculture still grows reasonably well, productivity and productivity in many areas."
"Theo thông tin được đăng tải trên Báo Thanh Niên, BM-21 Grad được chế tạo từ thời Liên Xô và sử dụng chính thức từ năm 1963, là một loại pháo phóng loạt chủ lực đáng chú ý trong quân đội nhiều nước, BM-21 Grad nổi tiếng với 40 nòng phóng, cho phép phóng cùng lúc 40 quả đạn 122mm với sức công phá đáng kinh ngạc. Đây là một loại vũ khí mạnh mẽ và có hiệu suất cao trong việc tiêu hao sinh lực và vũ khí của đối phương, đồng thời phá hủy các trận địa quan trọng.","According to the Times, the BM-21 Grad, built in the Soviet Union and officially deployed in 1963, is a remarkable weapon of mass destruction in the military of many countries, and the BM-21 Grad is famous for its 40 rounds, allowing you to fire simultane"
Tất cả các ngôi nhà ở vùng Mả Lạng đều có diện tích lớn hơn 20 m2.,All the houses in the area are more than 20 square meters.
"Khoảng 12h30, ôtô bất ngờ tông ngã 5m dải phân cách rồi lao qua làn bên cạnh trên đường dẫn cao tốc TP HCM - Long Thành - Dầu Giây hướng TP Thủ Đức về Đồng Nai.","At about 12:30 p.m., a car suddenly lands on the sidewalk of a five-meter stretch of road on the highway from HCMC to Long Thanh to Long Thanh in the direction of HCMC to Thanh Nami."
"Thiết bị DAT là một trong những ứng dụng công nghệ thông tin được dư luận, học viên, cơ sở đào tạo và các sở GTVT đánh giá cao vì có thể giúp học viên học lái xe được học đủ thời gian và số km lái xe trên đường theo quy định.","The DAT is one of the most popular information technology applications that students, faculty and GCHQ have really appreciated because it allows students to learn how to drive, how long to drive, and how many miles to drive on the road."
Richard Nixon là tổng thống Mỹ duy nhất từ chức.,Richard Nixon is the only American president since he took office.
Anh là thành viên sáng lập đầu tiên của CPTPP.,He was the first founding member of the CPTPP.
IAEA đang nỗ lực đàm phán các biện pháp bảo vệ nhà máy nhưng bị đình trệ do Ukraine từ chối rút quân.,"The IAEA was trying to negotiate safeguards, but they were suspended because Ukraine refused to withdraw."
Đề xuất bỏ xét học bạ do tình trạng “làm đẹp” học bạ và “chạy điểm” của trường.,It's about dropping out of school because of the state of play and dropping out of school.
"Công tố viên ở Manhattan đang điều tra ông Trump về vi phạm tài chính trong chiến dịch tranh cử, bắt nguồn từ việc ông bị cáo buộc chi tiền mua sự im lặng của nữ diễn viên phim người lớn Stormy Daniels trước cuộc bầu cử năm 2016.","The prosecutor in Manhattan is investigating Trump for alleged electoral fraud, which stems from allegedly spending money on the silence of actress Stormy Daniels prior to the 2016 election."
Nhà thờ theo kiến trúc Gothic đầu tiên sử dụng sắt thép để liên kết các khối đá trong quá trình xây dựng là Nhà thờ Đức Bà Paris (Pháp).,The first Gothic cathedral to use iron and steel to bridge blocks in its construction was the Notre Dame of Paris.
"Loại cà phê chủ yếu và nổi tiếng nhất được bán tại Việt Nam là Robusta.
",The most popular coffee in Vietnam is Robusta.
Hai đối tượng đã thực hiện hành vi nhờ vào 1 máy tính và 2 thiết bị giả trạm BTS các nhà mạng được mua từ một người đàn ông Trung Quốc.,Two subjects behaved with a computer and two fake BTS stations that were bought by a Chinese man.
"Nhà báo, nhiếp ảnh gia Nguyễn Hữu Thành từng đạt được nhiều giải thưởng danh dự trong và ngoài nước; đồng thời cũng là Phó đại diện Báo Ảnh Việt Nam phía Bắc.","The journalist, photographer Nguyen Thanh Quốc has won many prestigious awards abroad and abroad; he's also the spokesperson for the North Vietnamese Press."
"Vụ án giết người phân xác người mẫu Thái Thiên Phượng, Cảnh sát Hồng Kông quyết định dừng việc tìm kiếm các phần thi thể nạn nhân.","In the Thai model murder case, the Hong Kong Police Department decided to stop searching for the bodies."
"Quá trình làm hồ sơ để được cấp mã số vùng trồng không quá lâu, nên khi nhận được cấp mã số sớm, bà con ai cũng vỗ tay ăn mừng.","It doesn't take long to get a certificate, so once you get that certificate, everyone applauds."
Trùm ma túy Pablo Escobar đã mang 4 con hà mã châu Phi đến Colombia vào cuối năm 1980 để nuôi làm thú cưng.,The mystic Pablo Escobar brought four African oysters to Colombia in the late 1980s to be raised as pets.
"Cơ quan ANĐT Công an TP Đà Nẵng đã bắt được khá nhiều đối tượng vì hành vi làm, tàng trữ, lưu hành cũng như tàng trữ tiền giả.","The PRC arrested quite a few people for their actions, for stealing, for storing money."
"Một nhà hàng ăn uống tại phường Phú Mỹ bị kiểm tra đột xuất, phát hiện khách và nhân viên trong nhà hàng có sử dụng ma túy.","A restaurant in Phnom Penh was raided, and it was found that customers and staff were using marijuana."
"Việc dùng đất với nhiều mục đích khác nhau như canh tác, xây dựng nhà cửa,... phải đảm bảo thực hiện đầy đủ nghĩa vụ tài chính theo quy định, mục đích sử dụng phải được xác định theo quyết định giao đất cho thuê đất, cho phép chuyển mục đích dùng đất, công nhận quyền dùng đất.","The use of land for a variety of purposes, like farming, building houses, has to ensure that there is adequate financial obligation under the law, that the purpose of the land is determined by the decision to lease the land, to allow the transfer of the purpose of the"
"Chương trình tiêm chủng mở rộng đề nghị các tỉnh, thành phố tổ chức tiêm đủ 5 mũi vaccine có thành phần bại liệtcho trẻ sinh trong năm 2021 và 2022.",The expanded immunization program is proposing that provinces and cities organize enough polio vaccines for every child born in 2021 and 2022.
"12 tác phẩm hội họa do chính Trịnh Công Sơn vẽ và được gia đình ông gìn giữ qua nhiều năm và bộ sưu tập ảnh ""Trịnh Công Sơn - Lần đầu gặp lại"" của nhiếp ảnh gia Dương Minh Long sẽ được trưng bày tại phòng triển lãm The BigCiTy.","Twelve paintings by Chong and his family have been preserved for many years, and the photographer Yang Minh Long's collection ""Chong Gulf - First Time Again"" will be on display at The BigCiTy."
Trấn Thành cho rằng hay khóc là điểm xấu của anh nhưng vẫn rất vui vì biệt danh Thành Cry.,"He thinks crying is a bad thing, but he's very happy to be called Cheung-Cry."
Lễ an táng được tổ chức tại nghĩa trang San Carlos de Matanzas dưới sự dẫn đầu của đội danh dự tang lễ là Đại tướng Raúl Castro và Chủ tịch Cuba Miguel Díaz-Canel.,The funeral was held at the San Carlos de Matanzas Cemetery under the leadership of the funeral team of General Raúl Castro and Cuban President Miguel Díaz-Canel.
"Ngày 21/3, đồng bào Chăm theo đạo Bà ni ở Bình Thuận tập trung tại các động (nghĩa trang) để thực hiện phần quan trọng và mở đầu cho Tết Ramưwan - Tết truyền thống của người Chăm Bà ni đó chính là thực hiện nghi thức tảo mộ, cúng thỉnh tổ tiên, ông bà.","On the third day of February, the Tutsi tribe in Bình Dương focused on the movements to do the important part, and that started the traditional Tutsi holiday, which is to bury the dead, to visit the ancestors."
"Thu Ngân là một người ít nói, sống hướng nội và là người có trách nhiệm,  luôn giúp bạn bè nếu có thể.","Thuchamp was a low-spoken, introverted and responsible man who always helped his friends if he could."
Ba chiếc thẻ đỏ của Fulham giúp Man Utd bảo toàn chiến thắng trong trận đấu.,Fulham's three red cards kept Man Utd from winning the game.
Các chỉ tiêu tuyển sinh của các phương thức khác đều giảm trong khi của đánh giá năng lực lại tăng lên.,"The recruitment criteria for other metrics go down, while the performance criteria go up."
"Có 122 hộ dân bị hư hỏng nhà cửa trong giai đoạn 1 đã nhận tiền đền bù hơn 600 triệu đồng, phần lớn các hộ dân bị ảnh hưởng trong giai đoạn 1 đã nhận tiền, số còn lại dự kiến trong vòng 1 tháng tới sẽ chi trả đủ.","There were 122 families that had their homes destroyed in Stage One that had received more than 600 million dollars in compensation, and most of the affected families in Stage One had received the money, and the rest of them were expected to pay in the next month."
"Đảo Trindade là một hòn đảo núi lửa xa xôi ngoài khơi bờ biển Brazil, chỉ có thể đến được bằng hành trình đi thuyền từ 3 đến 4 ngày.","Trindade Island is a remote volcanic island off the coast of Brazil, accessible by boat only for three to four days."
Chỉ học sinh trung học mới đủ điều kiện tham gia chương trình trải nghiệm nghề nghiệp.,Only high school students are eligible to take the vocational experience program.
"Đại diện WB tại Việt Nam cho biết, hiện tổ chức tín dụng này đang hỗ trợ chương trình xây dựng thương hiệu nông sản tại các tỉnh miền Tây của Nam bộ, đồng thời, họ mong muốn phối hợp cùng Bộ NN&PTNT và các nhà tài trợ thực hiện các dự án ở Đồng bằng sông Cửu Long.","The representative of the World Bank in Vietnam said that the bank is now supporting a branding program for agriculture in the western provinces of the South, and at the same time, they want to partner with the Ministry of Agriculture and Rural Development and the donors to implement projects in the"
"Theo Bloomberg Intelligence, chỉ riêng ngành công nghiệp đầu tư mạo hiểm trị giá 5.000 tỷ USD, các quỹ quyết định cắt giảm rót vốn từ 25% đến 30%, tương đương khoảng 500 tỷ USD sau sự sụp đổ của Silicon Valley Bank gần đây, chỉ báo niềm tin tháng 3 của các doanh nghiệp Mỹ đã giảm xuống mức thấp nhất trong ba tháng.","According to Bloomberg Intelligence, the venture capital industry alone, worth 5,000 billion dollars, decided to cut capital flight by 25 percent to 30 percent, equivalent to about 500 billion dollars after the recent collapse of Silicon Valley Bank, indicating that American businesses' confidence in March had plummeted to its lo"
Nhờ sự hỗ trợ của đội ngũ bác sĩ trong việc theo dõi sức khỏe thì các cầu thủ đã thích nghi được với môi trường mới chỉ trong 1 ngày.,"Thanks to the support of a team of doctors to monitor the health, the players were able to adapt to new environments in just one day."
"Ngoài các khoản thu quy định, báo cáo cho thấy nhà trường còn e dè trong khoản thu thỏa thuận từ CMHS- bà Bà Lê Thị Nga- Hiệu trưởng nhà trường cho hay.","In addition to the regular tuition fees, the report also said that the school had reservations about the tuition fees offered by the Ministry of Health -- Mrs. Leung-soo, the head of the school."
"Từ ngày 22-12-2022 đến ngày 6-1, với sự tham gia của ít nhất 500 người trưởng thành từ 38 quốc gia, có tổng cộng 22.508 người đã tham gia cuộc khảo sát này.","From December 22nd to December 6th, 2022, with the participation of at least 500 adults from 38 countries, a total of 22,508 people participated."
"Nhiều thử nghiệm nhân sự và vị trí thi đấu đã được thực hiện bởi HLV Troussier trong hai trận đầu tiên ở Doha Cup 2023. Giới chuyên môn đang chờ xem ông sẽ tiếp tục thử nghiệm hay sử dụng đội hình gần như mạnh nhất của U23 Việt Nam trong trận đấu quan trọng với U23 Kyrgyzstan. Một trận thua trước đối thủ không quá mạnh sẽ gây thêm sự chỉ trích đối với U23 Việt Nam trong hành trình chuẩn bị cho SEA Games 32. Đáng chú ý là trong năm trước đó, U23 Việt Nam đã có chiến thắng đậm trước U23 Kyrgyzstan trong SEA Games 31. Thất bại ở Doha Cup 2023 được coi là điều bình thường với U23 Việt Nam khi các đối thủ đều mạnh hơn.",A lot of human trial and placement has been done by HLV Troussier in the first two games of the 2023 Doha Cup. The world is waiting to see if he will continue to test or use the most powerful team of the U23 Vietnamese in a major match against the U23 Ky
"Chanh và mật ong kết hợp tạo ra chất axit hòa tan có lợi giúp tăng cường khả năng miễn dịch, thanh lọc cơ thể, cải thiện hệ tiêu hóa, đào thải độc tố tích tụ lâu ngày để đường tiết niệu sạch sẽ.","Honey and honey combine to create a beneficial metabolic acid that enhances immunity, clears the body, improves digestion, and releases long-accumulated toxins into a clean circulatory system."
"Prompt là một công cụ để tương tác với trí tuệ nhân tạo, giúp cho việc tương tác với máy tính trở nên dễ dàng hơn.","Prompt is a tool for interacting with artificial intelligence, making it easier to interact with computers."
"Lê Văn Dục - phó giám đốc; Hoàng Cao Thắng - nguyên giám đốc và nhiều cán bộ của Sở Xây dựng TP.HCM đã thực hiện đề xuất đặt hàng Công ty Cây xanh, Công ty Sinh Thái Xanh trồng cây trái quy định.","Lê Văn Dung -- deputy director, former director -- and many of the officials in the Department of Construction of TP.HCM put forward a proposal for a Green Company, a Green Green Plant Regulatory Company."
"Đồng chí Trung tướng Hà Thọ Bình, Tư lệnh Quân khu và các đồng chí trong Ban Thường vụ Đảng ủy, Bộ Tư lệnh Quân khu giữ chức Phó Chỉ huy trưởng Bộ CHQS tỉnh Hà Tĩnh.","His colleagues, General Ha Thọ Bình, the District Attorney General and the members of the Bureau of the People's Democratic Party, the District Attorney General's Office, are the vice-commanders of the Department of Homeland Security in the province of Hanoi."
"Tại buổi lễ khẳng định tinh thần thi đua yêu nước và ý chí quyết tâm vượt lên chính mình của các nữ trí thức, các bác sĩ, dược sĩ, Phó Thủ tướng Trần Hồng Hà sinh năm 1980 nhấn mạnh.","At a ceremony that affirmed the spirit of patriotism and determination of women intellectuals, doctors, pharmacists, Deputy Prime Minister Chang Hong-hae, born in 1980, emphasized."
"Thống đốc cho biết NHNN sẽ tiếp tục nâng cao yêu cầu, chuẩn mực quản trị của ngân hàng khi đầu tư, song song đó tăng cường thanh tra, giám sát hoạt động đầu tư TPDN trên địa bàn TP.HCM.","The governor said that NHNN would continue to raise the requirements, the governance standards of the bank when it invests, while at the same time enhancing the inspection, the monitoring of TPDN investments on the territory of HCM."
"Sau khi thu thập chứng cứ từ việc giám định pháp y và phát hiện có dấu hiệu tác động đến cơ thể bé T, công an đã triệu tập ông T.H.Đ lên làm việc, cô giáo cũng đi theo chồng mình đến sở cảnh sát.","After collecting evidence from the medical examiner and discovering that there was an impact on Mr. T's body, the police called Mr. T.H. to work, and the teacher accompanied her husband to the police station."
Nhật Bản mới 2 đội bóng của Nam Mỹ đá giao hữu để kiểm nghiệm lại đội hình nước nhà.,Japan has just had two South American soccer teams compete to re-examine their national team.
"Một người đàn ông họ Cao, tên là Cao Xuân Tài ở thành phố Tây An, tỉnh Thiểm Tây đã mua sim đúng số điện thoại này.","This is a guy named Cao Cao, and he's in Xi'an Province, China, and he bought the right phone number."
"Làm chín bằng phương pháp lên men tự nhiên nên nem chua cũng còn chứa nhiều vi khuẩn chỉ bị tiêu diệt khi qua xử lý nhiệt, ảnh hưởng không tốt đến đường tiêu hóa.","It's naturally peppered, so it also contains a lot of bacteria that are killed by thermal processing, which is not good for digestion."
Giăng dây điện ngoài ruộng để diệt chuột vô tình gây tử vong.,Put electricity out in the fields to kill unsuspecting mice.
"Sáng 31/3 tại Hà Nội, cuộc họp giao ban quý I/2023 diễn ra báo cáo của Bộ Giao thông vận tải , ông Bùi Quang Thái, Vụ trưởng Vụ Kế hoạch và Đầu tư thông tin, Bộ Giao thông vận tải giải ngân khoảng 17.000 tỷ đồng, đạt hơn 18% kế hoạch năm, cao hơn so với cùng kỳ năm ngoái đạt khoảng 14% tính đến ngày 31/3/2023.","On the morning of March 3rd in Hanoi, the First Intergovernmental Meeting of 2023, the Ministry of Transportation released the report, Mr. Bùi Quang Thái, Minister of Planning and Information Investment, the Ministry of Transportation disbursed about 17,000 billion dollars, more than"
"Nguyễn Thế Anh và Nguyễn Thị Kim Ngân cùng trú tại huyện Phú Lộc, tỉnh Lâm Đồng có hành vi gây rối trật tự công cộng vì lái xe ""diễn xiếc"" trên đèo Hải Vân ngày 19-3 đã bị công an khởi tố.","Nguyễn Thu Anh and Nguyễn Thi Kim Ngân, both of whom lived in Phu Long Province, Cameroon, were charged with disturbing the public order by driving a ""disgusting"" car on the Seine on March 19th."
"Ngược lại với Nhật Bản thì Colombia có phong độ kém, yếu khi chỉ thắng được 1 trận trong 8 trận vừa qua.","In contrast to Japan, Colombia had a weak wind, winning just one of the last eight games."
Công an tỉnh Bến Tre đã tiến hành kiểm tra hành chính đột xuất 11 cơ sở kinh doanh của F88 trên địa bàn toàn tỉnh.,The province of Burma has conducted a policy review of 11 of the F88's businesses across the province.
Cô bắt đầu tham gia các cuộc thi nhan sắc tại Brazil kể từ năm 2015 và đang làm người mẫu  trước khi đăng quang Hoa hậu.,She started competing in the Brazilian beauty pageant in 2015 and is now a model before the post-Soviet photo array.
"Chính quyền địa phương hiện đang truy bắt những kẻ tấn công, còn thi thể của các nạn nhân thì chưa được đưa về thủ đô Bangui.","The local authorities are now arresting the perpetrators, and the bodies of the victims have yet to be returned to the capital."
"Chủ tịch UBND Hà Nội vừa có văn bản chỉ đạo đến các sở, ban, ngành, cơ quan, doanh nghiệp TP và UBND các quận, huyện để toàn bộ cán bộ, đảng viên, công chức, viên chức, người lao động ở TP phải làm căn cước công dân gắn chip và tài khoản định danh điện tử.","The mayor of Hanoi just issued a decree to the departments, departments, agencies, businesses of the state and the districts, so that all the officials, party members, officials, employees in the state would be citizens with a chip and an electronic ID card."
Chủ tịch Gianni Infatino đã tuyên bố rằng các giải đấu trực thuộc FIFA của nam và nữ đến năm 2027 sẽ có sự chênh lệch không nhỏ.,Chairman Gianni Infatino announced that the FIFA men's and women's tournaments by 2027 would be no small difference.
"Khách sạn ra đời vào năm 1901, nhưng sau cơn bào năm Thìn, khách sạn không bị hư tổn nặng.","The hotel was built in 1901, but after the Fifth World War, it didn't suffer much damage."
Cardi B cho rằng cả hai rapper đều sai vì lễ trao giải không phải nơi để tranh cãi và đánh nhau.,Cardi B argued that both rappers were wrong because the ceremony was not a place for arguments and fights.
Các em học sinh của Trường tiểu học Birkdale mừng rỡ khi nhìn thấy thầy giáo bị ngưng tim vài tháng trước quay trở lại lớp học.,The children of Birkdale Elementary School were thrilled to see the teacher with a heart attack come back to school a few months ago.
Đã có hơn 500.000 khách hàng chuẩn hóa thông tin thuê bao chỉ trong 1 ngày.,"There are over 500,000 subscribers who have used this in just one day."
"Trấn Thành "" mau nước mắt "" trong họp báo ra mắt phim của Đàm Vĩnh Hưng, khiến đồng nghiệp ngán ngẩm, xa lánh.","So, ""Shut up,"" in the news conference, is the release of the film ""Drum Yong,"" and his colleagues are silent, far away."
USAID đã bàn giao 29.383 mét vuông đất đã được xử lý dioxin tại sân bay Biên Hòa cho Bộ Quốc phòng Việt Nam.,"USAID agreed to hand over 29,383 square meters of land that had been treated with dioxins at the border airport to the Vietnamese Ministry of Defense."
"Thông qua nhóm chuyên gia liên ngành, liên trường thì giảng viên của một trường trong khối liên kết có thể đến làm việc tại các trường còn lại","Through an intercollegiate group, the faculty of one faculty member can go and work in the other faculty member."
"Chủ tịch UBND TP.HCM thông qua cuộc họp toàn quốc vừa có văn bản chỉ đạo đến các sở, ban, ngành, cơ quan, doanh nghiệp TP và UBND các quận, huyện, 100% người lao động àm thủ tục cấp thẻ căn cước công dân gắn chip và đăng ký, kích hoạt thành công tài khoản định danh điện tử VNeID.","The chairman of the municipality of Ho Chi Minh City, through a nationwide meeting, has issued instructions to the municipalities, departments, industries, agencies, businesses, and the districts, districts, where 100 percent of the workforce follows the procedure of issuing"
"Vào năm 2023, xảy ra trận chiến tranh giữa Mỹ và Nga, Tướng Grynkewich nói rằng phi cơ bay trực tiếp qua đầu đơn vị của chúng ta, trong tầm khoảng 1,6 km tại ATG, tạo ra tình thế không thoải mái và đồng thời nhấn mạnh không tin rằng Nga sử dụng vũ khí chống lại quân đội Mỹ tại Syria và đã giết hại nhiều dân thường ở đó.","In 2023, when the war between the U.S. and Russia broke out, General Grynkewich said that flying an airplane directly over our headquarters, about a mile away at ATG, created an uncomfortable situation, and at the same time underscored"
"Talk show ""Không lãng phí sách giáo khoa"" không thành công vì không giải quyết được vấn đề sách giáo khoa sử dụng một lần.","The ""Don't Waste Textbooks"" talk didn't work because it didn't solve the problem of textbooks being used once."
Nữ người mẫu Selena Gomez ngày 24/3 đã đăng dòng story trên Instagram lên tiếng kêu gọi fan tôn trọng và buông tha cho Hailey Bieber.,Model Selena Gomez posted a story on Instagram on March 24th calling for respect and forgiveness for Hailey Bieber.
Khung phát triển du lịch bền vững hậu đại dịch COVID-19 vừa được Hiệp hội các quốc gia Đông Nam Á (ASEAN) công bố trong ngày 30/2/2023.,"The sustainable development of tourism in the wake of the COVID-19 epidemic was announced by the Association of Southeast Asian Nations on February 30, 1923."
Toàn bộ số kinh phí trên là 50 tỉ USD sẽ được Trung tâm phát triển đất tỉnh thực hiện giải ngân.,"The total cost of the project is 50 billion dollars, and it will be funded by the Provincial Development Center."
"Sau hơn 2 ngày xảy ra sự cố, nguồn nước cung cấp cho cư dân sẽ ổn định trở lại.","After more than two days of the accident, the water supply to the inhabitants was restored."
Kế hoạch truyền thông Năm Du lịch quốc gia 2023 được quảng bá và tuyên truyền rộng rãi với nhiều hình thức khác nhau.,The media plan for the 2023 National Tourism Year was widely promoted in many different forms.
Ở Việt Nam IELTS có vị trí cực kì quan trọng khi tại một số trường đại học thì xét tuyển IELTS để công nhận chuẩn đầu ra ngoại ngữ.,"In Vietnam, IELTS is very important, because at some universities they take IELTS to certify their foreign language proficiency."
Các quốc gia khác sẽ đáp lại lời kêu gọi bảo vệ chuỗi cung ứng toàn cầu dù cảnh báo rằng không có nước nào đủ sức tạo ra một chuỗi cung ứng độc lập hoàn toàn.,"Other countries will respond to the call to protect the global supply chain, even though they warn that no country has the capacity to create a fully independent supply chain."
Những người có kinh nghiệm đánh giá dựa năng lực của các đội và đưa ra dự đoán tỷ số: Nhật Bản 2-1 Colombia.,People who had experience judged teams on their strengths and made predictions: Japan 2-1 Colombia.
Giá vàng có sự thay đổi và bất ổn trên thị trường.,Gold prices are volatile and volatile.
Mỹ rút khỏi Hiệp định Đối tác Xuyên Thái Bình Dương (TPP) là do không nhân được nhiều lợi ích từ CPTPP.,The withdrawal of the United States from the Pacific Treaty is because it doesn't multiply the benefits of the TPP.
